source,target,time
48,67,9847080
67,48,9847500
67,147,9847500
67,50,9847500
67,13,9847500
67,48,9847500
67,147,9847500
67,50,9847500
67,13,9847500
67,48,9850320
67,48,9850320
48,67,9852780
67,147,9853200
67,48,9869640
50,67,9879360
48,136,9950040
48,67,9950040
67,48,9951780
67,50,9962520
67,50,9962520
48,67,9964020
48,67,9964020
48,67,10277880
48,147,10277880
67,147,10280520
67,50,10280520
67,13,10280520
67,48,10280520
48,67,10280820
67,50,10280880
67,147,10282080
50,67,10286280
50,67,10286280
50,67,10286280
67,147,10294680
67,50,10294680
67,13,10294680
67,48,10294680
48,67,10294980
48,67,10364400
48,147,10364400
67,13,10367820
67,147,10376880
67,50,10376880
67,13,10376880
67,48,10376880
67,50,10379040
67,13,10379040
67,147,10379280
67,50,10379280
67,13,10379280
67,48,10379280
67,147,10379760
67,50,10380540
67,13,10380540
48,67,10386600
75,142,10391340
75,142,10391340
48,147,10454400
67,147,10454880
75,137,10476420
48,107,10480860
48,107,10480860
48,67,10482540
48,13,10482540
48,67,10482540
48,13,10482540
48,147,10543380
48,13,10544340
48,67,10544340
48,147,10544340
48,50,10544340
67,13,10558800
67,50,10820820
67,147,10822740
48,136,10827540
48,142,10827540
48,27,10827540
48,67,10827540
48,147,10827540
48,50,10827540
48,13,10827540
48,76,10827540
48,13,10910160
67,13,10920720
67,13,10970160
48,147,11057520
67,50,11071920
67,13,11071920
48,13,11152560
48,67,11152560
48,147,11152560
48,50,11152560
67,147,11177160
67,147,11177160
48,147,11411340
75,137,11413740
48,147,11420580
48,13,11424660
48,67,11424660
48,147,11424660
48,50,11424660
48,147,11579700
48,147,11667960
50,67,12018240
48,147,12178620
48,147,12178620
67,13,12180900
67,13,12184860
67,13,12193200
67,13,12212580
67,13,12267420
67,50,12287520
67,147,12291960
67,147,12292680
67,48,12358740
67,48,12358740
67,48,12358740
67,48,12358740
67,147,12359760
67,50,12359760
67,13,12359760
67,48,12359760
67,13,12359880
50,67,12619620
48,147,12629460
48,13,12629460
48,147,12632520
107,48,12827940
48,136,12876180
48,27,12876180
48,107,12876180
48,107,12876180
75,137,12898440
75,137,12964440
67,13,13223100
67,13,13223100
67,13,13223700
67,13,13223700
67,50,13227240
67,13,13232640
67,13,13232640
67,13,13234980
50,67,13249680
147,67,13324740
147,67,13324740
147,27,13324920
147,67,13324920
147,67,13324920
13,48,13413900
48,107,13423260
48,107,13423260
48,107,13423260
48,107,13423260
75,137,13492140
48,147,13497180
75,137,13573620
67,50,13821840
67,13,13824060
50,67,13824900
48,147,13825560
67,13,13839000
48,27,14017680
67,147,14081340
67,13,14082480
67,13,14082480
67,50,14084040
48,13,14103240
67,50,14171520
67,50,14171520
67,50,14171700
67,50,14171700
67,50,14172300
67,13,14183580
67,13,14196720
48,67,14197200
67,48,14197440
48,107,14198760
67,13,14426940
67,50,14432520
67,13,14436420
50,67,14442420
67,13,14444760
67,13,14444760
48,50,14449140
67,44,14455140
67,50,14525640
48,67,14615220
48,67,14615220
48,67,14622660
48,67,14622660
13,67,15121260
13,67,15121260
147,13,15212820
147,50,15212820
147,48,15212820
13,67,15225540
13,67,15225540
67,147,15227880
67,50,15235920
67,13,15235920
67,147,15235920
67,147,15235920
13,67,15313560
13,67,15313560
48,50,15317940
48,13,15317940
67,13,15375000
67,13,15375000
67,13,15636720
67,13,15636720
147,67,15719520
147,67,15719520
147,67,15719520
147,67,15719520
67,147,15727680
67,13,15736080
48,122,15832560
48,107,15832560
48,122,15832560
48,107,15832560
67,147,16004520
67,50,16004520
67,13,16238160
67,147,16250700
67,50,16250700
67,48,16250700
67,13,16250700
48,147,16602420
48,67,16602420
48,13,16604520
48,67,16604520
48,147,16604520
48,50,16604520
48,67,16614060
48,67,16614060
67,13,16848240
67,13,16863480
13,48,16951020
13,48,16951020
67,147,17025540
67,76,17361780
67,13,17361780
67,13,17361780
67,13,17361900
67,147,17361900
67,13,17361900
67,147,17361900
67,13,17365620
67,13,17365620
139,69,17487840
139,27,17487840
139,69,17487840
139,27,17487840
48,50,17653800
48,50,17653800
48,67,17737680
67,48,17800560
48,136,18153720
48,136,18154020
48,136,18159180
48,136,18159840
48,50,18165000
48,13,18165000
67,13,18172920
139,69,18223740
27,69,18235980
48,136,18236520
48,136,18236520
13,67,18237540
13,67,18237540
48,136,18246240
139,69,18256200
139,27,18256200
48,136,18311160
48,27,18311160
48,147,18325560
48,147,18325560
139,69,18328980
48,27,18336240
48,136,18336240
48,136,18336660
48,27,18336660
67,13,18340740
67,50,18348900
67,13,18348900
67,48,18348900
67,147,18348900
114,81,18412680
48,136,18427140
48,27,18427140
114,81,18659880
48,136,18661680
48,27,18661680
48,136,18663000
48,136,18663000
125,61,18677100
27,39,18743460
48,136,18743760
67,147,18744300
67,147,18744300
48,136,18774300
48,27,18774300
75,58,18834300
48,147,18840000
48,67,18840000
67,27,18847140
75,142,18849960
75,142,18849960
67,13,18852060
67,13,18852060
67,13,18859020
67,13,18859020
48,136,18864360
48,27,18864360
137,32,18914340
75,142,18919740
75,142,18919740
48,27,18920160
48,27,18922980
48,136,18922980
67,13,18940200
137,32,18947220
137,32,18947220
137,32,19000800
137,32,19000800
67,27,19002660
67,27,19002660
48,136,19003140
48,27,19003140
137,32,19026060
122,125,19031280
122,128,19031280
122,91,19031280
122,59,19031280
122,49,19031280
48,136,19035420
48,27,19035420
137,32,19216800
137,32,19216800
67,50,19261320
67,13,19272780
67,13,19275240
67,13,19275300
48,136,19291800
48,27,19291800
13,27,19292340
13,67,19292340
13,67,19292340
67,13,19349940
49,19,19354260
49,19,19354260
75,142,19368180
75,142,19368180
67,27,19370940
67,13,19370940
137,20,19372680
137,20,19372680
137,20,19373040
137,20,19373040
67,96,19381860
67,13,19450320
67,50,19451040
67,13,19451040
67,50,19451040
67,13,19451040
137,49,19457820
137,49,19458300
137,49,19458480
114,96,19525560
114,81,19541940
114,96,19556160
114,96,19556160
114,81,19566540
114,81,19566540
114,81,19566540
114,81,19566540
125,61,19866240
49,137,19868400
49,137,19868460
114,96,19873440
114,81,19873440
114,96,19873440
114,81,19873440
114,96,19873440
114,81,19873440
114,96,19873440
114,81,19873440
114,81,19875000
114,63,19875000
114,81,19875000
114,63,19875000
114,81,19875000
114,63,19875000
114,81,19875060
114,63,19875060
114,81,19875120
114,63,19875120
114,81,19875180
114,63,19875180
114,81,19875180
114,63,19875180
114,81,19875240
114,63,19875240
114,81,19875240
114,63,19875240
114,81,19875240
114,63,19875240
114,81,19875240
114,63,19875240
114,81,19875300
114,63,19875300
114,81,19875360
114,63,19875360
114,81,19875420
114,63,19875420
114,81,19876260
114,63,19876260
114,81,19881240
114,63,19881240
27,54,19882680
27,54,19882680
114,81,19884240
114,63,19884240
114,81,19884300
114,63,19884300
114,81,19884420
114,63,19884420
114,81,19885200
114,63,19885200
114,81,19885740
114,63,19885740
114,81,19885800
114,63,19885800
114,81,19886160
114,63,19886160
114,81,19886160
114,63,19886160
114,81,19888260
114,63,19888260
114,81,19888320
114,63,19888320
114,81,19888320
114,63,19888320
49,2,19889160
49,2,19889160
114,96,19889820
114,81,19889820
114,96,19889820
114,81,19889820
114,63,19891920
114,96,19891920
114,81,19891920
114,96,19891920
114,81,19891920
137,141,19892340
137,49,19892340
137,141,19892340
137,49,19892340
114,81,19911600
114,81,19911600
114,81,19952040
114,81,19953480
114,63,19953480
114,81,19955880
114,63,19955880
48,13,19957680
48,67,19957680
48,147,19957680
48,50,19957680
49,19,19968600
114,81,19971300
114,81,19982340
114,81,19982340
114,81,19982580
114,63,19982580
114,81,20044740
114,63,20044740
114,81,20050200
114,63,20050200
48,136,20060700
48,27,20060700
48,13,20065620
48,13,20065620
48,13,20065620
48,13,20065620
114,96,20086440
114,81,20086440
114,96,20086440
114,81,20086440
114,96,20086440
114,81,20086440
114,96,20086440
114,81,20086440
114,63,20123100
114,81,20123100
114,96,20123100
114,81,20123100
114,96,20123100
114,81,20130960
114,63,20130960
114,63,20132220
114,63,20132220
114,63,20132220
114,63,20132220
114,96,20137740
114,89,20137740
114,63,20137740
49,2,20140080
49,2,20140080
114,81,20142000
122,57,20148000
122,125,20150100
122,25,20150100
122,7,20150100
122,54,20150100
122,54,20150100
122,125,20150100
122,25,20150100
122,7,20150100
122,54,20150100
122,54,20150100
114,81,20227860
137,49,20562660
137,49,20569440
137,49,20570520
137,49,20570520
49,2,20572020
49,141,20572020
49,141,20572020
114,96,20575860
114,96,20577900
114,96,20577900
67,147,20581080
67,13,20581080
67,13,20581080
48,136,20591280
48,27,20591280
114,96,20595960
114,96,20595960
114,96,20595960
114,96,20595960
137,32,20642580
137,48,20642580
137,32,20642580
137,48,20642580
114,81,20648460
13,48,20653080
13,67,20653080
13,147,20653080
13,50,20653080
13,48,20653080
13,67,20653080
13,147,20653080
13,50,20653080
49,141,20660400
49,141,20660820
49,141,20660820
49,19,20677560
137,49,20678040
48,136,20731380
48,27,20731380
67,13,20733540
67,13,20733540
27,54,20739060
75,4,20757060
114,81,20758200
114,81,20758200
48,136,20758320
48,27,20758320
125,61,20816880
67,13,20826180
48,136,20846820
48,27,20846820
122,107,20848920
67,13,21078720
67,13,21078720
67,13,21084420
48,67,21093180
48,27,21093180
48,67,21093180
48,27,21093180
125,61,21097560
125,61,21101880
48,136,21108120
48,27,21108120
137,141,21165900
137,2,21165900
137,141,21165900
137,2,21165900
16,29,21169320
137,141,21171960
137,141,21171960
49,73,21176820
48,136,21180840
137,141,21183960
137,49,21183960
137,49,21183960
118,21,21185340
27,54,21187260
27,54,21187260
48,136,21247740
48,27,21247740
137,141,21248340
137,49,21248340
137,49,21248340
125,61,21251280
75,110,21264780
114,81,21264840
114,96,21264840
114,81,21264840
114,96,21264840
48,136,21270720
48,27,21270720
48,136,21270720
48,27,21270720
114,63,21273300
114,64,21273300
137,49,21273900
48,136,21277980
48,27,21277980
137,32,21280620
137,49,21280620
137,49,21280620
114,81,21284640
114,81,21286680
114,81,21286680
137,141,21335160
137,49,21335160
67,50,21338580
67,50,21338580
67,50,21339840
67,13,21339840
67,50,21339840
67,13,21339840
67,50,21344640
48,13,21345660
48,67,21345660
48,147,21345660
48,50,21345660
48,50,21346440
48,13,21346440
125,61,21358740
48,136,21364800
48,27,21364800
49,137,21424320
137,49,21434160
67,147,21449700
48,136,21450000
48,27,21450000
67,48,21682860
67,48,21682860
48,132,21687180
114,81,21687420
137,49,21709560
48,136,21710160
48,27,21710160
67,50,21766020
67,13,21766020
48,67,21776520
48,13,21783000
48,67,21783000
48,147,21783000
48,50,21783000
48,147,21787800
48,67,21799080
48,67,21799080
49,141,21799500
48,77,21871140
48,132,21871140
67,50,21872280
67,13,21872280
48,136,21879600
48,27,21879600
67,147,21886740
67,147,21943500
48,136,21970680
48,27,21970680
114,81,21981840
114,81,21981840
114,81,21985920
114,96,21985920
114,81,21985920
114,96,21985920
67,13,22035000
67,13,22035000
114,81,22133160
114,81,22285500
48,136,22285740
48,27,22285740
67,13,22287480
137,49,22300020
137,32,22300320
48,142,22307400
137,49,22310460
139,69,22369380
137,49,22372020
67,147,22372560
67,50,22372560
67,13,22372560
67,48,22372560
67,13,22372740
48,136,22372920
48,27,22372920
48,67,22381980
48,136,22382160
48,27,22382160
137,49,22386900
137,49,22386900
137,49,22387080
137,49,22387080
49,137,22388220
27,54,22399680
125,61,22460220
67,50,22461240
67,13,22461240
67,50,22476060
48,136,22478220
48,136,22480500
48,13,22485120
48,67,22485120
48,147,22485120
48,50,22485120
122,128,22486800
122,128,22486800
114,96,22486860
114,96,22486860
48,136,22486980
48,27,22486980
137,49,22550280
137,141,22550280
137,49,22550280
137,141,22550280
48,13,22554480
48,67,22554480
48,147,22554480
48,50,22554480
48,13,22554480
48,67,22554480
48,147,22554480
48,50,22554480
129,45,22558200
129,148,22558200
129,45,22558200
129,148,22558200
67,48,22561860
75,58,22565040
49,73,22571400
48,136,22575420
48,27,22575420
137,141,22632120
137,2,22632120
114,63,22633860
137,49,22636680
67,50,22639260
48,77,22640340
48,132,22640340
67,13,22659000
67,13,22659000
67,13,22659180
67,147,22892580
67,147,22892580
67,147,22892580
114,96,22900800
114,89,22900800
114,63,22900800
67,13,22901580
67,13,22901580
67,147,22906500
125,61,22910820
137,141,22911360
137,2,22911360
137,49,22911360
137,141,22911360
137,2,22911360
137,49,22911360
137,49,22912140
137,49,22912140
114,81,22914540
114,81,22916040
49,137,22918140
48,136,22920300
48,27,22920300
137,49,22922820
137,49,22922820
137,49,22923060
67,50,22976820
67,13,22976820
139,69,22979580
139,69,22979580
137,141,22993920
137,141,22993920
49,19,22995000
125,61,23002560
125,61,23005080
48,136,23006520
48,27,23006520
67,50,23077560
67,13,23077560
67,48,23077560
137,32,23085240
125,61,23087280
67,50,23089440
67,13,23089440
48,136,23095020
48,27,23095020
122,54,23097840
122,150,23097840
122,150,23097840
137,2,23149020
137,2,23149020
137,49,23167980
137,2,23174280
48,136,23236620
48,27,23236620
48,67,23240820
48,13,23241240
48,13,23241240
137,49,23242560
137,141,23242560
137,2,23242560
137,141,23242560
137,2,23242560
125,49,23242620
49,137,23244060
137,49,23244480
48,107,23263320
48,136,23267940
48,27,23267940
67,48,23495220
67,50,23495580
67,13,23495580
67,50,23500020
67,13,23500860
81,114,23501400
137,49,23506560
67,50,23517120
147,107,23529900
48,13,23582760
48,13,23582760
147,107,23591880
147,107,23599500
67,13,23603160
118,101,23607660
137,2,23672100
137,49,23673420
114,96,23687220
114,96,23687220
49,141,23696400
48,136,23697600
48,27,23697600
137,141,23763720
125,61,23778900
48,136,23840280
48,27,23840280
137,49,23858400
67,13,23860620
48,13,23863740
48,13,23863860
48,67,23863860
48,147,23863860
48,50,23863860
48,67,23865000
48,136,23866140
48,27,23866140
107,54,23871000
107,150,23871000
107,150,23871000
67,50,24117840
67,13,24117960
67,13,24120120
67,48,24120420
48,147,24123180
67,13,24123840
48,136,24129180
48,27,24129180
48,13,24189000
48,67,24189000
48,147,24189000
48,50,24189000
48,136,24189000
67,147,24196740
75,49,24207240
118,101,24207960
48,147,24216960
49,141,24218280
49,141,24218280
48,147,24273420
48,13,24274560
48,13,24274560
137,49,24277920
137,49,24277920
48,147,24300060
48,147,24300060
48,136,24359760
48,27,24359760
48,147,24367620
48,147,24367620
49,19,24374340
48,147,24376860
48,147,24376860
48,136,24379560
48,136,24392460
48,27,24392460
48,147,24464280
48,136,24472380
48,27,24472380
114,81,24541140
114,81,24541140
114,81,24541140
114,81,24541140
137,49,24747720
114,96,24785400
67,147,24791280
67,50,24791280
67,13,24791280
67,48,24791280
107,54,24792060
107,150,24792060
107,54,24792060
107,150,24792060
114,81,24792480
107,54,24793080
107,150,24793080
107,150,24793080
114,96,24795600
67,50,24796740
75,49,24803940
75,137,24803940
49,141,24823920
49,2,24823920
49,2,24823920
75,49,24877320
114,96,24877320
114,96,24877320
49,141,24877500
49,2,24877500
48,136,24880680
48,27,24880680
32,18,24904260
32,137,24904260
32,68,24904260
32,66,24904260
32,4,24904260
32,49,24904260
32,18,24904260
32,137,24904260
32,68,24904260
32,66,24904260
32,4,24904260
32,49,24904260
13,48,24967740
48,13,24982560
27,69,24984540
48,13,25049700
48,67,25049700
48,147,25049700
48,50,25049700
137,49,25068000
49,137,25069380
137,18,25071000
137,141,25078920
137,2,25078920
137,49,25078920
137,141,25079520
137,2,25079520
137,141,25080240
137,49,25080240
137,2,25080240
137,141,25080240
137,49,25080240
137,2,25080240
125,61,25320120
147,13,25321440
147,50,25321440
147,48,25321440
147,67,25321440
147,67,25321440
147,13,25321440
147,50,25321440
147,48,25321440
147,67,25321440
147,67,25321440
48,147,25328640
48,107,25328640
48,147,25328640
48,107,25328640
48,147,25328640
48,107,25328640
48,147,25328640
48,107,25328640
67,147,25335780
81,114,25340340
107,54,25342980
107,150,25342980
107,101,25342980
107,96,25342980
107,44,25342980
107,62,25342980
107,45,25342980
114,81,25395420
114,63,25395420
48,136,25396260
48,27,25396260
137,141,25400040
137,49,25400040
137,19,25400040
137,2,25400040
137,141,25400040
137,49,25400040
137,19,25400040
137,2,25400040
50,67,25404720
137,141,25412640
137,2,25412640
67,50,25416060
67,13,25416360
122,54,25419900
122,150,25419900
122,150,25419900
114,96,25480320
114,96,25482300
48,136,25482600
48,27,25482600
32,18,25491240
32,137,25491240
32,141,25491240
32,68,25491240
32,66,25491240
32,4,25491240
32,49,25491240
32,18,25491240
32,137,25491240
32,141,25491240
32,68,25491240
32,66,25491240
32,4,25491240
32,49,25491240
49,19,25509360
49,141,25509360
49,141,25509360
48,13,25515000
48,67,25515000
48,147,25515000
48,50,25515000
48,136,25568160
48,27,25568160
49,141,25586700
49,2,25586700
49,19,25586700
49,141,25586700
49,2,25586700
49,19,25586700
114,81,25588740
114,63,25588740
48,147,25589580
48,147,25589580
114,96,25591260
48,136,25654980
48,27,25654980
48,77,25656960
48,77,25656960
48,77,25671720
48,39,25671720
48,132,25671720
48,13,25671720
48,13,25671720
96,114,25908060
114,60,25910520
67,50,25918860
50,67,25923480
50,147,25923480
50,67,25924440
49,19,25924560
49,141,25924560
49,2,25924560
147,13,25927500
147,50,25927920
147,67,25927920
147,13,25927920
147,48,25927920
147,67,25927920
147,13,25927920
147,48,25927920
48,136,25932780
48,27,25932780
88,48,25941360
49,137,25942440
49,137,25942440
67,147,25945980
67,147,25945980
48,136,25946220
48,27,25946220
48,136,25946880
48,27,25946880
114,81,25995600
67,50,26001600
48,147,26006340
48,107,26006340
48,147,26006340
48,107,26006340
137,141,26010300
137,2,26010300
137,2,26010300
49,19,26023440
49,32,26033880
49,141,26033880
49,141,26033880
48,136,26034360
48,27,26034360
137,49,26045700
48,147,26093700
48,107,26093700
48,147,26093700
48,107,26093700
114,60,26107380
114,96,26107380
114,60,26107380
114,96,26107380
67,50,26108700
48,136,26172840
48,27,26172840
67,50,26173200
49,19,26178960
67,13,26181420
67,50,26183460
114,110,26188680
114,96,26188680
114,110,26188680
114,96,26188680
114,110,26188680
114,96,26188680
114,110,26188680
114,96,26188680
48,13,26194980
48,147,26196360
48,147,26196360
40,48,26198640
40,48,26198640
67,13,26199060
67,13,26199060
48,147,26199300
48,13,26199540
48,67,26199540
48,147,26199540
48,50,26199540
48,13,26199540
48,67,26199540
48,147,26199540
48,50,26199540
114,96,26253480
114,96,26253540
67,50,26259480
67,13,26259480
48,136,26259600
48,27,26259600
49,19,26260980
49,2,26260980
67,50,26270100
67,50,26270340
147,27,26272560
67,50,26283300
67,13,26283300
147,48,26284800
147,67,26284800
147,67,26284800
48,147,26284980
48,136,26287500
48,27,26287500
125,61,26288640
125,61,26288640
67,13,26293200
137,49,26515440
114,110,26521320
114,110,26521320
114,96,26522520
114,96,26522520
137,49,26525040
137,49,26525040
67,13,26529000
67,13,26529000
125,61,26534700
48,13,26538240
48,67,26538240
48,147,26538240
48,50,26538240
48,27,26538240
48,147,26540460
48,147,26540460
48,147,26540460
48,147,26540460
67,13,26548500
125,61,26549580
125,61,26549580
48,136,26550300
48,27,26550300
125,61,26604540
125,61,26604540
96,114,26614440
96,81,26614440
67,147,26617260
67,50,26617260
67,13,26617260
67,48,26617260
67,147,26617260
67,50,26617260
67,13,26617260
67,48,26617260
122,54,26632680
122,150,26632680
122,150,26632680
122,123,26634240
48,136,26635500
48,27,26635500
114,96,26709840
114,63,26776140
137,49,26778120
114,96,26778840
114,96,26778840
114,60,26785920
114,60,26785920
114,60,26785920
114,60,26785920
137,141,26796480
137,2,26796480
62,44,26797500
62,44,26797500
62,44,26803620
62,44,26803620
137,141,26863380
137,2,26863380
137,141,26863380
137,2,26863380
114,63,26865060
114,63,26867640
48,136,26871600
48,27,26871600
67,13,26886960
67,13,26886960
48,147,26889060
48,13,26889060
48,107,26889060
48,147,26889060
48,13,26889060
48,107,26889060
48,136,26897520
48,27,26897520
67,147,27123660
67,50,27123660
67,13,27123660
67,48,27123660
67,147,27124260
114,110,27126120
125,61,27126120
125,61,27126120
125,61,27131640
125,61,27131640
48,136,27209640
48,27,27209640
67,147,27213600
67,147,27213600
114,63,27218940
114,96,27218940
48,77,27219660
48,39,27219660
48,132,27219660
67,13,27220860
67,13,27221760
67,13,27227460
67,13,27227460
49,19,27228000
49,2,27228000
49,141,27228000
49,141,27228000
67,147,27228780
48,147,27239460
48,147,27239460
114,63,27240060
48,13,27298500
48,67,27298500
48,147,27298500
48,50,27298500
125,61,27301020
67,13,27302580
67,50,27382920
48,136,27383220
48,27,27383220
48,13,27384660
48,67,27384660
48,147,27384660
48,50,27384660
48,13,27392880
48,67,27392880
48,147,27392880
48,50,27392880
75,49,27393600
125,61,27400680
49,75,27400980
48,13,27401100
48,67,27401100
48,147,27401100
48,50,27401100
49,75,27401160
125,61,27405300
137,49,27410460
137,49,27410460
114,63,27412200
114,63,27412200
137,2,27413220
137,49,27413220
137,49,27413220
107,127,27418500
107,129,27418500
107,54,27418500
107,123,27418500
114,96,27462780
114,96,27464460
75,49,27489720
137,32,27501420
137,49,27501420
114,63,27727200
114,63,27727200
125,61,27728880
125,61,27729300
48,136,27735780
48,147,27735780
48,147,27735780
114,81,27740040
114,63,27740040
114,60,27740100
114,60,27740100
137,141,27742380
137,2,27742380
137,141,27742380
137,2,27742380
67,13,27742800
114,63,27745320
137,49,27747240
75,49,27747480
49,59,27756540
49,59,27760020
67,147,27764280
67,147,27764280
48,136,27813960
48,27,27813960
48,136,27815700
67,50,27816960
49,59,27826800
13,67,27829560
13,147,27829560
114,81,27840180
114,81,27840180
67,50,27844920
48,136,27846660
48,27,27846660
67,147,27847140
67,147,27847140
114,81,27847380
114,63,27847380
114,60,27847620
114,60,27847620
114,81,27898620
114,63,27898620
114,60,27898620
114,81,27898620
114,63,27898620
114,60,27898620
44,111,27927660
48,13,27932880
48,13,27932880
49,19,27935460
49,141,27935460
49,19,27935460
49,141,27935460
67,147,27935640
67,50,27935640
67,13,27935640
67,48,27935640
44,104,27939300
48,136,27987000
48,27,27987000
114,96,27994740
114,63,27994740
114,89,27994740
125,61,27997380
49,125,28001460
49,61,28001460
49,61,28002420
114,96,28003320
114,96,28003320
114,96,28004340
114,89,28004340
114,63,28004340
49,125,28007100
49,61,28007100
13,48,28025340
13,67,28025340
13,147,28025340
13,50,28025340
48,136,28070820
48,27,28070820
13,48,28074840
13,67,28074840
13,147,28074840
13,50,28074840
49,59,28081680
13,50,28101360
13,48,28101360
125,61,28333320
48,67,28338420
48,67,28338420
67,50,28343040
48,13,28343760
48,67,28343760
48,147,28343760
48,50,28343760
147,13,28344300
147,48,28344300
147,50,28344300
147,67,28344300
147,50,28356840
147,67,28356840
147,67,28356840
49,141,28358460
125,61,28359660
137,49,28365420
48,136,28371180
48,27,28371180
150,129,28377540
137,2,28421880
67,147,28423980
48,147,28425120
48,147,28425120
114,63,28430940
114,81,28434300
114,96,28434900
114,96,28434900
147,13,28436400
147,13,28436580
147,13,28436580
147,13,28437060
75,58,28446300
75,58,28447620
48,147,28448940
48,147,28448940
73,49,28451100
49,73,28451460
147,50,28452900
147,50,28452900
50,13,28454880
50,67,28454880
50,147,28454880
50,48,28454880
76,50,28455180
48,147,28512000
48,147,28512000
147,67,28522260
147,13,28522260
147,67,28522260
147,13,28522260
147,67,28522260
147,13,28522260
147,67,28522260
147,13,28522260
147,136,28524300
147,136,28524300
62,102,28593840
44,150,28614000
49,59,28618080
49,59,28618080
114,64,28623120
26,25,28700460
114,64,28708680
114,64,28708680
137,32,28774500
49,141,28778880
49,2,28778880
49,73,28778880
49,141,28778880
49,2,28778880
49,73,28778880
73,49,28784640
73,141,28784640
73,2,28784640
73,141,28784640
73,2,28784640
49,32,28872240
125,61,28949220
48,147,28951800
48,147,28951800
147,136,28954920
147,136,28964100
147,136,28964100
147,67,28964220
147,67,28964220
147,50,28967820
49,137,28972020
67,13,28978080
67,13,28978080
137,68,29026380
147,67,29032560
147,67,29032560
147,67,29032560
147,67,29032560
50,13,29033640
50,67,29033640
50,147,29033640
50,48,29033640
48,147,29035860
147,48,29036940
147,67,29036940
147,67,29036940
147,48,29036940
147,67,29036940
147,67,29036940
147,48,29036940
147,67,29036940
147,67,29036940
147,48,29036940
147,67,29036940
147,67,29036940
137,2,29038440
137,141,29038440
137,141,29038440
75,58,29044140
76,136,29046540
147,48,29046600
147,67,29046600
147,48,29046600
147,67,29046600
48,147,29046960
67,147,29047020
67,13,29051760
44,104,29057460
44,91,29058540
76,136,29134740
147,48,29137320
147,48,29137320
125,61,29137680
147,136,29144100
147,136,29144100
147,67,29201160
67,147,29203500
67,147,29203860
50,13,29207280
50,67,29207280
50,147,29207280
50,48,29207280
49,59,29208120
114,96,29210520
114,96,29210520
125,58,29213880
50,13,29223960
50,67,29223960
50,147,29223960
50,48,29223960
147,67,29224680
147,48,29224680
147,67,29224680
147,48,29224680
50,13,29224800
50,67,29224800
50,147,29224800
50,48,29224800
67,50,29228640
67,50,29228820
67,48,29229780
67,48,29229780
67,13,29230920
67,147,29231100
